1.9000000000000001,-16.900000000000002,1.8
1.9000000000000001,-12.9,-1.1
0.2,-12.100000000000001,-2.3000000000000003
2.9000000000000004,-14,0.2
2.1,-13.700000000000001,0.2
2.1,-14.8,-0.1
1.5,-17.1,-0.8
0.30000000000000004,-18.7,-1.2000000000000002
-2.5,-21.700000000000003,-1
-4.4,-26.1,-0.4
-4,-28.200000000000003,-0.1
-0.9,-30.200000000000003,0.6000000000000001
2.2,-25.900000000000002,1.3
3,-21.3,1.6
2.5,-12.100000000000001,2
2.5,-8.3,2.3000000000000003
4.4,-3.4000000000000004,3.6
7.1000000000000005,-0.7000000000000001,4.3
7.6000000000000005,0.1,3.5
7.7,1.7000000000000002,-3.8000000000000003
6.300000000000001,2.7,-9.600000000000001
5.6000000000000005,2.9000000000000004,-10.100000000000001
3.2,2.8000000000000003,-6.9
1,2.6,-4.3
0.30000000000000004,2.4000000000000004,-3.8000000000000003
-0.2,1.9000000000000001,-1.7000000000000002
-0.2,1.2000000000000002,0
-0.30000000000000004,1,0.1
-0.5,0.8,0.1
-0.7000000000000001,0.7000000000000001,0.1
-0.8,0.7000000000000001,0.1
-0.9,0.6000000000000001,0.1
-0.9,0.5,0.1
-0.8,0.30000000000000004,0.2
-0.7000000000000001,0.1,0.4
-0.5,0,0.5
0,-0.1,0.7000000000000001
1,-0.9,-0.1
1.7000000000000002,-2.1,-1.6
1.7000000000000002,-6.4,-3.3000000000000003
4.7,-18.1,2.7
10.9,-24.8,9.8
15.9,-34.9,12.700000000000001
10.3,-29.8,2.7
0.30000000000000004,-24.400000000000002,-9.700000000000001
-9.700000000000001,-13.700000000000001,-16.6
-10.200000000000001,-9.9,-13.100000000000001
-7,-9.700000000000001,-6.6000000000000005
-1,-13.4,0.4
0.2,-15.700000000000001,2.2
-0.1,-17.5,4.4
-2.4000000000000004,-15.700000000000001,3.3000000000000003
-2.6,-15,1.9000000000000001
-1.9000000000000001,-15.9,-0.7000000000000001
-1.2000000000000002,-17.400000000000002,-1.5
-1.2000000000000002,-17.7,-1.2000000000000002
-1.7000000000000002,-18.400000000000002,-0.2
-2.7,-20,-0.1
-3.1,-21.6,-0.30000000000000004
-3.1,-25.6,-0.8
-2,-27.900000000000002,-0.8
-1.5,-27.6,-0.5
-0.4,-23.6,0.6000000000000001
0,-20.900000000000002,1.1
0.9,-14.3,1.8
1.8,-8.6,2.2
2.5,-5.800000000000001,2.9000000000000004
3.9000000000000004,-2,4.1000000000000005
4.5,0.6000000000000001,5.5
4.2,1.3,5.2
4.1000000000000005,1.9000000000000001,1.7000000000000002
5.800000000000001,2.8000000000000003,-7.2
6.7,3,-9.600000000000001
6.2,3.3000000000000003,-9.8
3.5,2.3000000000000003,-3.7
2,1.9000000000000001,-2.3000000000000003
0.7000000000000001,1.5,-0.9
0.30000000000000004,1.3,-0.6000000000000001
0,1.2000000000000002,-0.8
-0.9,1.2000000000000002,-2.7
-1.4000000000000001,1.3,-3.6
-1.4000000000000001,1.3,-3.8000000000000003
-0.4,1,-2.3000000000000003
0.1,0.8,-1.5
0.7000000000000001,0.4,-1.1
1.8,0,-0.4
2.7,-0.2,0.1
4.800000000000001,-0.8,0.8
5,-2.2,0.1
4.7,-3.6,-0.9
4.5,-8.700000000000001,-0.4
10.3,-20.6,9
13.200000000000001,-26.8,13.700000000000001
7.300000000000001,-36,12.200000000000001
3,-35.4,7
-6.2,-24.6,0.2
-4.9,-13.700000000000001,-2.3000000000000003
-4.9,-10.200000000000001,-6.6000000000000005
-4.7,-10.9,-8.700000000000001
-0.9,-15.200000000000001,-4.5
1.4000000000000001,-17.7,0.1
1.6,-21,3.7
-0.7000000000000001,-20.5,4
-1.6,-19.900000000000002,3.6
-2.3000000000000003,-20.200000000000003,0.8
-2.4000000000000004,-22.200000000000003,-1.4000000000000001
-2.3000000000000003,-23.1,-1.6
-1.7000000000000002,-24.700000000000003,-0.30000000000000004
-1.2000000000000002,-25.200000000000003,0.6000000000000001
0.30000000000000004,-25.200000000000003,2
1.6,-22.400000000000002,2
1.9000000000000001,-19.5,1.6
1.8,-13.4,0.9
1.5,-7.800000000000001,0.5
1.4000000000000001,-5.9,0.5
1.3,-2.3000000000000003,0.4
1.4000000000000001,-0.2,0.6000000000000001
1.8,0.5,1.1
3.6,1.3,2
6.6000000000000005,1.2000000000000002,0.6000000000000001
7.6000000000000005,1.1,-1
6.7,1,-3.5
3.5,1.5,-3.5
2.1,1.6,-2.8000000000000003
1.1,1.7000000000000002,-1.4000000000000001
1,1.6,-0.8
0.8,1.8,-0.9
0.7000000000000001,2.1,-2.4000000000000004
1,2.1,-3
2.6,1.9000000000000001,-3.2
5.5,1.6,-2.1
6.800000000000001,1.1,-1.5
8.8,0,-1
8.3,-1.1,-0.7000000000000001
7.2,-1.6,-0.9
4,-2.5,-1.6
1.5,-3,-1.5
1.2000000000000002,-3.4000000000000004,-1
1.2000000000000002,-7,1.7000000000000002
1.3,-12.8,3.7
1.8,-27,8.700000000000001
1,-36.6,9.3
0.5,-34.7,7.800000000000001
-0.7000000000000001,-23.3,3.1
-0.9,-10.600000000000001,0.2
-1,-7.300000000000001,-0.4
-2.2,-7.2,-1.2000000000000002
-4.800000000000001,-10.5,-4.2
-5.800000000000001,-12.700000000000001,-5.5
-6.2,-16.3,-5.9
-4.2,-19.400000000000002,-2.2
-2.8000000000000003,-20.1,-0.5
0.2,-20.200000000000003,0.6000000000000001
1.9000000000000001,-20.1,0.2
1.7000000000000002,-20.200000000000003,-0.2
0.2,-21.3,-0.7000000000000001
